,company
0,Genting Malaysia Bhd
1,PARKSON Retail Group Ltd
2,Hithink RoyalFlush Information Network Co Ltd
3,Graybug Vision Inc
4,Adapthealth Corp
5,Japan Tobacco Inc
6,Universal Technical Institute Inc
7,Eicher Motors Ltd
8,VCA Inc
9,EMCORE Corp
10,Brookfield Office Properties Inc
11,Chloride Group Ltd
12,Walsin Technology Corp
13,Gallaher Group Ltd
14,Salesforce.Com Inc
15,Nikon Corp
16,Wizz Air Holdings PLC
17,Rossi Residencial SA
18,Fisher & Paykel Appliances Holdings Ltd
19,Want Want China Holdings Ltd
20,Banco Comercial Portugues SA
21,Deutsche Lufthansa AG
22,Cencosud SA
23,Nemetschek SE
24,Crealogix Holding AG
25,Monro Inc
26,GS Home Shopping Inc
27,Automotive Holdings Group Ltd
28,Gunze Ltd
29,Porr AG
30,Digital Turbine Inc
31,TVN SA
32,Sibanye Stillwater Ltd
33,Kite Realty Group Trust
34,PDL Community Bancorp
35,Banco Pastor SA
36,Guangzhou Shiyuan Electronic Technology Co Ltd
37,Sinotrans Ltd
38,Innolux Corp
39,Arbutus Biopharma Corp
40,CGTEL SAPI de CV
41,Profound Medical Corp
42,Cardiovascular Systems Inc
43,Benefytt Technologies Inc
44,Georg Fischer AG
45,Energy Absolute PCL
46,CyberOptics Corp
47,Ibiden Co Ltd
48,Inphi Corp
49,Evolution Mining Ltd
50,Tokyo Seimitsu Co Ltd
51,Accenture PLC
52,Tata Consultancy Services Ltd
53,Lundin Gold Inc
54,Smithson Investment Trust PLC
55,Kardex Holding AG
56,China Yuhua Education Corp Ltd
57,Qingdao Rural Commercial Bank Corp
58,Netflix Inc
59,Novanta Inc
60,Nyfosa AB
61,Mirgor SACIFIA
62,ACE Aviation Holdings Inc
63,BMC Stock Holdings Inc
64,AdvancePierre Foods Holdings Inc
65,Hexo Corp
66,China Pacific Insurance Group Co Ltd
67,Esperion Therapeutics Inc
68,Koninklijke Boskalis Westminster NV
69,Pollard Banknote Ltd
70,ZhongAn Online P & C Insurance Co Ltd
71,Sedgman Pty Ltd
72,BlackRock Inc
73,Corbus Pharmaceuticals Holdings Inc
74,DLH Holdings Corp
75,Kikkoman Corp
76,Mitsui OSK Lines Ltd
77,Malaysian Airline System Bhd
78,Luna Innovations Inc
79,Fulcrum Therapeutics Inc
80,AlzChem Group AG
81,Tarsus Pharmaceuticals Inc
82,Shanghai Baosight Software Co Ltd
83,TCF Financial Corp (Pre-Merger)
84,Enel Distribucion Peru SAA
85,Morgan Stanley
86,China Film Co Ltd
87,Cobham Ltd
88,Prosus NV
89,Stroeer SE & Co KGaA
90,Tod's SpA
91,Maxscend Microelectronics Co Ltd
92,Amsouth BanCorp
93,Hannover Rueck SE
94,Chow Tai Fook Jewellery Group Ltd
95,Grupo Modelo S de RL de CV
96,Quicksilver Resources Inc
97,Stanley Black & Decker Inc
98,UGL Pty Ltd
99,Yes Bank Ltd
100,Sanoma Oyj
101,Aspira Women's Health Inc
102,Dubai Investments PJSC
103,Oak Street Health Inc
104,Maxim Integrated Products Inc
105,Tobu Railway Co Ltd
106,AcelRx Pharmaceuticals Inc
107,Flint Energy Services Ltd (Pre-Merger)
108,Fast Retailing Co Ltd
109,Sansiri PCL
110,Idameneo No789 Ltd
111,JPMorgan Indian Investment Trust PLC
112,Tektronix Inc
113,Eurazeo SE
114,Safeway Inc
115,Organogenesis Holdings Inc
116,Auburn National Bancorporation Inc
117,Acushnet Holdings Corp
118,Circassia Group PLC
119,Mango Excellent Media Co Ltd
120,Ebara Corp
121,Cabot Oil & Gas Corp
122,Cameco Corp
123,Tata Consumer Products Ltd
124,Perilya Ltd
125,Hanza Holding AB
126,Amkor Technology Inc
127,Bumi Armada Bhd
128,Booker Group Ltd
129,Chongqing Fuling Zhacai Group Co Ltd
130,Melbana Energy Ltd
131,Devoteam SA
132,BB Seguridade Participacoes SA
133,Leoni AG
134,Webcentral Group Ltd
135,AUTOPISTAS DEL SOL SA (AR)
136,Bluelinx Holdings Inc
137,Element Fleet Management Corp
138,Refineria La Pampilla SAA
139,Netmarble Corp
140,Kirkland Lake Gold Ltd
141,Republic First Bancorp Inc
142,Tryg A/S
143,BOK Financial Corp
144,Baytex Energy Corp
145,Schroders PLC
146,Planet Fitness Inc
147,Transmedics Group Inc
148,Taokaenoi Food & Marketing PCL
149,Hackett Group Inc
150,OncoCyte Corp
151,Kymera Therapeutics Inc
152,Workspace Group PLC
153,Shinsei Bank Ltd
154,Kawasaki Heavy Industries Ltd
155,Paladin Energy Ltd
156,Applied Biosystems Inc
157,Chase Corp
158,Argo Group International Holdings Ltd
159,LIC Housing Finance Ltd
160,Yulon Motor Co Ltd
161,Harpoon Therapeutics Inc
162,Osisko Mining Inc
163,John Menzies PLC
164,Bank of China Ltd
165,PearlAbyss Corp
166,Funding Circle Holdings PLC
167,Mitsubishi Gas Chemical Co Inc
168,Mediaalpha Inc
169,Federal Home Loan Mortgage Corp
170,ChoiceOne Financial Services Inc
171,NB Global Monthly Income Fund Ltd
172,Nanosonics Ltd
173,Hikma Pharmaceuticals PLC
174,Inchcape PLC
175,Xilinx Inc
176,Nordnet AB (publ)
177,EFG Hermes Holdings SAE
178,Prysmian SpA
179,Woodside Petroleum Ltd
180,First Commonwealth Financial Corp
181,Equinor ASA
182,Attacq Ltd
183,DPL Inc
184,Stantec Inc
185,Zhejiang Juhua Co Ltd
186,Easterly Government Properties Inc
187,NMI Holdings Inc
188,Ocean Wilsons Holdings Ltd
189,Transat AT Inc
190,DexCom Inc
191,Gunnebo AB
192,Baton Holding LLC
193,Qatar National Bank Alahly SAE
194,Shandong Sun Paper Co Ltd
195,Newpark Resources Inc
196,Howard Bancorp Inc
197,Industrial Bank of Korea
198,China Oriental Group Co Ltd
199,Shotspotter Inc
200,Hellofresh SE
201,China Railway Construction Corp Ltd
202,UEM Sunrise Bhd
203,MetLife Inc
204,Orexo AB
205,HUYA Inc
206,Shandong Sinocera Functional Material Co Ltd
207,Karoon Energy Ltd
208,Capex SA
209,Avic XiAn Aircraft Industry Group Co Ltd
210,Worldpay Inc
211,Zhejiang Jiahua Energy Chemical Industry Co Ltd
212,Global Yatirim Holding AS
213,Keihan Holdings Co Ltd
214,NOVA Chemicals Corp
215,Barito Pacific Tbk PT
216,Willis Towers Watson PLC
217,mBank SA
