Environment,Emissions,Resource Use,Innovation,Social,Human Rights,Product Responsibility,Workforce,Community,Governance,Management,Shareholders,CSR Strategy,industry_rank,descr,main_score
26,55,75,0,27,12,35,41,14,53,55,40,63,193/309,"Sedgman Pty Ltd is a Insurance company. Below is the rank of this company out of all the companies in its industry. Get the most comprehensive, detailed, and up to date sector and industry classification available with the Refinitiv Business Classification here",37
73,85,83,64,84,81,45,98,94,63,55,69,94,33/382,"BlackRock Inc is a Investment Banking & Investment Services company. Below is the rank of this company out of all the companies in its industry. Get the most comprehensive, detailed, and up to date sector and industry classification available with the Refinitiv Business Classification here",73
0,0,0,0,17,0,28,11,13,42,53,30,0,429/545,"Corbus Pharmaceuticals Holdings Inc is a Biotechnology & Medical Research company. Below is the rank of this company out of all the companies in its industry. Get the most comprehensive, detailed, and up to date sector and industry classification available with the Refinitiv Business Classification here",22
0,0,0,0,53,0,96,14,66,49,56,46,19,86/183,"DLH Holdings Corp is a Healthcare Providers & Services company. Below is the rank of this company out of all the companies in its industry. Get the most comprehensive, detailed, and up to date sector and industry classification available with the Refinitiv Business Classification here",42
88,93,83,87,69,26,95,92,60,47,32,94,53,62/378,"Kikkoman Corp is a Food & Tobacco company. Below is the rank of this company out of all the companies in its industry. Get the most comprehensive, detailed, and up to date sector and industry classification available with the Refinitiv Business Classification here",69
71,97,64,50,73,69,78,64,83,61,70,47,38,21/177,"Mitsui OSK Lines Ltd is a Freight & Logistics Services company. Below is the rank of this company out of all the companies in its industry. Get the most comprehensive, detailed, and up to date sector and industry classification available with the Refinitiv Business Classification here",69
71,97,64,50,73,69,78,64,83,61,70,47,38,21/177,"Malaysian Airline System Bhd is a Freight & Logistics Services company. Below is the rank of this company out of all the companies in its industry. Get the most comprehensive, detailed, and up to date sector and industry classification available with the Refinitiv Business Classification here",69
0,0,0,0,16,0,7,15,44,51,72,16,0,490/559,"Luna Innovations Inc is a Machinery Tools Heavy Vehicles Trains & Ships company. Below is the rank of this company out of all the companies in its industry. Get the most comprehensive, detailed, and up to date sector and industry classification available with the Refinitiv Business Classification here",21
0,0,0,0,59,0,76,73,47,19,24,15,0,312/545,"Fulcrum Therapeutics Inc is a Biotechnology & Medical Research company. Below is the rank of this company out of all the companies in its industry. Get the most comprehensive, detailed, and up to date sector and industry classification available with the Refinitiv Business Classification here",28
22,30,8,29,23,0,31,48,31,29,25,52,15,271/330,"AlzChem Group AG is a Real Estate Operations company. Below is the rank of this company out of all the companies in its industry. Get the most comprehensive, detailed, and up to date sector and industry classification available with the Refinitiv Business Classification here",24
5,0,30,0,17,3,39,7,28,1,1,4,0,104/110,"Mirgor SACIFIA is a Computers Phones & Household Electronics company. Below is the rank of this company out of all the companies in its industry. Get the most comprehensive, detailed, and up to date sector and industry classification available with the Refinitiv Business Classification here",10
2,5,0,0,27,0,19,19,73,18,25,10,0,105/115,"ACE Aviation Holdings Inc is a Passenger Transportation Services company. Below is the rank of this company out of all the companies in its industry. Get the most comprehensive, detailed, and up to date sector and industry classification available with the Refinitiv Business Classification here",17
20,0,0,45,23,0,56,22,30,57,70,55,0,115/159,"BMC Stock Holdings Inc is a Real Estate Operations company. Below is the rank of this company out of all the companies in its industry. Get the most comprehensive, detailed, and up to date sector and industry classification available with the Refinitiv Business Classification here",31
